ID;Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;PersonalLoan;SecuritiesAccount;CDAccount;Online;CreditCard;ExperienceCategory;IncomeCategory;Log_Income;FamilySizeCategory;Income_Family_Interaction;SpendingperFamily;Log_Mortgage;Mortgage/Income;SpendingCategory;MortgageDependency;AgeGroup;EducationLevel
26;43;19;29;94305;3;500;1;97;0;0;0;1;0;Senior;Middle Income;3.4011973816621555;Medium;9.666666666666666;166.66666666666666;4.584967478670572;3.3448275862068964;High Spender;High Dependency;Adult;Undergraduate
27;40;16;83;95064;4;200;3;0;0;0;0;0;0;Senior;High Income;4.430816798843313;Medium;20.75;50.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
28;46;20;158;90064;1;2400;1;0;0;0;0;1;1;Senior;High Income;5.0689042022202315;Small;158.0;2400.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
29;56;30;48;94539;1;2200;3;0;0;0;0;1;1;Senior;Middle Income;3.8918202981106265;Small;48.0;2200.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
30;38;13;119;94104;1;3300;2;0;1;0;1;1;1;Senior;High Income;4.787491742782046;Small;119.0;3300.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
31;59;35;35;93106;1;1200;3;122;0;0;0;1;0;Senior;Middle Income;3.58351893845611;Small;35.0;1200.0;4.812184355372417;3.4857142857142858;High Spender;High Dependency;Senior;Advanced/PhD
32;40;16;29;94117;1;2000;2;0;0;0;0;1;0;Senior;Middle Income;3.4011973816621555;Small;29.0;2000.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
33;53;28;41;94801;2;600;3;193;0;0;0;0;0;Senior;Middle Income;3.7376696182833684;Small;20.5;300.0;5.267858159063328;4.7073170731707314;High Spender;High Dependency;Senior;Advanced/PhD
34;30;6;18;91330;3;900;3;0;0;0;0;0;0;Senior;Low Income;2.9444389791664403;Medium;6.0;300.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
35;31;5;50;94035;4;1800;3;0;0;0;0;1;0;Mid-Level;Middle Income;3.9318256327243257;Medium;12.5;450.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
36;48;24;81;92647;3;700;1;0;0;0;0;0;0;Senior;High Income;4.406719247264253;Medium;27.0;233.33333333333334;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
37;59;35;121;94720;1;2900;1;0;0;0;0;0;1;Senior;High Income;4.804021044733257;Small;121.0;2900.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
38;51;25;71;95814;1;1400;3;198;0;0;0;0;0;Senior;High Income;4.276666119016055;Small;71.0;1400.0;5.293304824724492;2.788732394366197;High Spender;High Dependency;Senior;Advanced/PhD
39;42;18;141;94114;3;5000;3;0;1;1;1;1;0;Senior;High Income;4.955827057601261;Medium;47.0;1666.6666666666667;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
40;38;13;80;94115;4;700;3;285;0;0;0;1;0;Senior;High Income;4.394449154672439;Medium;20.0;175.0;5.655991810819852;3.5625;High Spender;High Dependency;Adult;Advanced/PhD
41;57;32;84;92672;3;1600;3;0;0;1;0;0;0;Senior;High Income;4.442651256490317;Medium;28.0;533.3333333333334;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
42;34;9;60;94122;3;2300;1;0;0;0;0;0;0;Senior;Middle Income;4.110873864173311;Medium;20.0;766.6666666666666;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
43;32;7;132;90019;4;1100;2;412;1;0;0;1;0;Senior;High Income;4.890349128221754;Medium;33.0;275.0;6.023447592961033;3.121212121212121;High Spender;High Dependency;Adult;Graduate
44;39;15;45;95616;1;700;1;0;0;0;0;1;0;Senior;Middle Income;3.828641396489095;Small;45.0;700.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
45;46;20;104;94065;1;5700;1;0;0;0;0;1;1;Senior;High Income;4.653960350157523;Small;104.0;5700.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
46;57;31;52;94720;4;2500;1;0;0;0;0;0;1;Senior;Middle Income;3.970291913552122;Medium;13.0;625.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
47;39;14;43;95014;3;700;2;153;0;0;0;1;0;Senior;Middle Income;3.784189633918261;Medium;14.333333333333334;233.33333333333334;5.0369526024136295;3.558139534883721;High Spender;High Dependency;Adult;Graduate
48;37;12;194;91380;4;200;3;211;1;1;1;1;1;Senior;High Income;5.272999558563747;Medium;48.5;50.0;5.356586274672012;1.0876288659793814;High Spender;High Dependency;Adult;Advanced/PhD
49;56;26;81;95747;2;4500;3;0;0;0;0;0;1;Senior;High Income;4.406719247264253;Small;40.5;2250.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
50;40;16;49;92373;1;1800;1;0;0;0;0;0;1;Senior;Middle Income;3.912023005428146;Small;49.0;1800.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
51;32;8;8;92093;4;700;2;0;0;1;0;1;0;Senior;Low Income;2.1972245773362196;Medium;2.0;175.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
52;61;37;131;94720;1;2900;1;0;0;0;0;1;0;Senior;High Income;4.882801922586371;Small;131.0;2900.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
53;30;6;72;94005;1;100;1;207;0;0;0;0;0;Senior;High Income;4.290459441148391;Small;72.0;100.0;5.337538079701318;2.875;High Spender;High Dependency;Adult;Undergraduate
54;50;26;190;90245;3;2100;3;240;1;0;0;1;0;Senior;High Income;5.25227342804663;Medium;63.333333333333336;700.0;5.484796933490655;1.263157894736842;High Spender;High Dependency;Adult;Advanced/PhD
55;29;5;44;95819;1;200;3;0;0;0;0;1;0;Mid-Level;Middle Income;3.8066624897703196;Small;44.0;200.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Advanced/PhD
56;41;17;139;94022;2;8000;1;0;0;0;0;1;0;Senior;High Income;4.941642422609304;Small;69.5;4000.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
57;55;30;29;94005;3;100;2;0;0;1;1;1;0;Senior;Middle Income;3.4011973816621555;Medium;9.666666666666666;33.333333333333336;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
58;56;31;131;95616;2;1200;3;0;1;0;0;0;0;Senior;High Income;4.882801922586371;Small;65.5;600.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
59;28;2;93;94065;2;200;1;0;0;0;0;0;0;Junior;High Income;4.543294782270004;Small;46.5;100.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Undergraduate
60;31;5;188;91320;2;4500;1;455;0;0;0;0;0;Mid-Level;High Income;5.241747015059643;Small;94.0;2250.0;6.1224928095143865;2.4202127659574466;High Spender;High Dependency;Adult;Undergraduate
61;49;24;39;90404;3;1700;2;0;0;1;0;1;0;Senior;Middle Income;3.6888794541139363;Medium;13.0;566.6666666666666;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
62;47;21;125;93407;1;5700;1;112;0;1;0;0;0;Senior;High Income;4.836281906951478;Small;125.0;5700.0;4.727387818712341;0.896;High Spender;High Dependency;Adult;Undergraduate
63;42;18;22;90089;1;1000;1;0;0;0;0;0;0;Senior;Low Income;3.1354942159291497;Small;22.0;1000.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
64;42;17;32;94523;4;0;2;0;0;0;0;1;0;Senior;Middle Income;3.4965075614664802;Medium;8.0;0.0;0.0;0.0;Low Spender;No Mortgage;Adult;Graduate
65;47;23;105;90024;2;3300;1;0;0;0;0;0;0;Senior;High Income;4.663439094112067;Small;52.5;1650.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
66;59;35;131;91360;1;3800;1;0;0;0;0;1;1;Senior;High Income;4.882801922586371;Small;131.0;3800.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
67;62;36;105;95670;2;2800;1;336;0;0;0;0;0;Senior;High Income;4.663439094112067;Small;52.5;1400.0;5.820082930352362;3.2;High Spender;High Dependency;Senior;Undergraduate
68;53;23;45;95123;4;2000;3;132;0;1;0;0;0;Senior;Middle Income;3.828641396489095;Medium;11.25;500.0;4.890349128221754;2.933333333333333;High Spender;High Dependency;Senior;Advanced/PhD
69;47;21;60;93407;3;2100;1;0;0;0;0;1;1;Senior;Middle Income;4.110873864173311;Medium;20.0;700.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
70;53;29;20;90045;4;200;1;0;0;0;0;1;0;Senior;Low Income;3.044522437723423;Medium;5.0;50.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
71;42;18;115;91335;1;3500;1;0;0;0;0;0;1;Senior;High Income;4.7535901911063645;Small;115.0;3500.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
72;53;29;69;93907;4;1000;2;0;0;0;0;1;0;Senior;High Income;4.248495242049359;Medium;17.25;250.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
73;44;20;130;92007;1;5000;1;0;0;0;0;0;1;Senior;High Income;4.875197323201151;Small;130.0;5000.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
74;41;16;85;94606;1;4000;3;0;0;0;0;1;1;Senior;High Income;4.454347296253507;Small;85.0;4000.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
75;28;3;135;94611;2;3300;1;0;0;0;0;0;1;Mid-Level;High Income;4.912654885736052;Small;67.5;1650.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Undergraduate
76;31;7;135;94901;4;3800;2;0;1;0;1;1;1;Senior;High Income;4.912654885736052;Medium;33.75;950.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
77;58;32;12;91320;3;300;3;0;0;0;0;0;0;Senior;Low Income;2.5649493574615367;Medium;4.0;100.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
78;46;20;29;92220;3;500;2;0;0;0;0;0;0;Senior;Middle Income;3.4011973816621555;Medium;9.666666666666666;166.66666666666666;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
79;54;30;133;93305;2;2600;3;0;1;0;0;0;0;Senior;High Income;4.897839799950911;Small;66.5;1300.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
80;50;26;19;94720;2;400;1;118;0;0;0;1;0;Senior;Low Income;2.995732273553991;Small;9.5;200.0;4.77912349311153;6.2105263157894735;High Spender;High Dependency;Adult;Undergraduate
81;60;36;41;95134;4;1300;1;174;0;0;0;1;1;Senior;Middle Income;3.7376696182833684;Medium;10.25;325.0;5.1647859739235145;4.2439024390243905;High Spender;High Dependency;Senior;Undergraduate
82;47;22;40;94612;3;2700;2;0;0;0;0;1;0;Senior;Middle Income;3.713572066704308;Medium;13.333333333333334;900.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
83;41;16;82;92507;1;4000;3;0;0;0;0;1;0;Senior;High Income;4.418840607796598;Small;82.0;4000.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
84;33;9;50;94305;1;2400;2;0;0;0;0;0;0;Senior;Middle Income;3.9318256327243257;Small;50.0;2400.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
85;46;22;18;91730;1;900;3;0;0;0;0;1;0;Senior;Low Income;2.9444389791664403;Small;18.0;900.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
86;27;2;109;94005;4;1800;3;0;0;0;0;0;0;Junior;High Income;4.700480365792417;Medium;27.25;450.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Advanced/PhD
87;40;16;42;94501;4;2200;2;126;0;0;0;0;0;Senior;Middle Income;3.7612001156935624;Medium;10.5;550.0;4.844187086458591;3.0;High Spender;High Dependency;Adult;Graduate
88;48;22;78;94305;3;1100;1;0;0;0;0;1;0;Senior;High Income;4.3694478524670215;Medium;26.0;366.6666666666667;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
89;65;41;51;94117;2;1100;1;0;0;0;0;1;0;Senior;Middle Income;3.9512437185814275;Small;25.5;550.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
90;25;-1;113;94303;4;2300;3;0;0;0;0;0;1;Junior;High Income;4.736198448394496;Medium;28.25;575.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Advanced/PhD
91;55;30;118;90277;4;5600;2;0;1;0;0;1;0;Senior;High Income;4.77912349311153;Medium;29.5;1400.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
92;35;10;29;94105;4;1100;3;0;0;0;0;1;0;Senior;Middle Income;3.4011973816621555;Medium;7.25;275.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
93;43;19;34;94305;3;600;2;0;0;0;0;0;0;Senior;Middle Income;3.5553480614894135;Medium;11.333333333333334;200.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
94;60;34;64;94550;2;1700;3;236;0;1;0;1;0;Senior;Middle Income;4.174387269895637;Small;32.0;850.0;5.4680601411351315;3.6875;High Spender;High Dependency;Senior;Advanced/PhD
95;65;39;121;92612;1;2000;1;0;0;0;0;0;0;Senior;High Income;4.804021044733257;Small;121.0;2000.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
96;38;12;48;95617;4;200;3;0;0;0;0;1;0;Senior;Middle Income;3.8918202981106265;Medium;12.0;50.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
97;41;15;80;95014;1;5200;1;0;0;0;0;0;0;Senior;High Income;4.394449154672439;Small;80.0;5200.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
98;54;28;161;92121;1;2900;1;0;0;0;0;1;0;Senior;High Income;5.087596335232384;Small;161.0;2900.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
99;49;23;94;92374;1;300;1;0;0;0;0;1;0;Senior;High Income;4.553876891600541;Small;94.0;300.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
100;66;41;15;91711;3;100;3;0;0;0;0;1;0;Senior;Low Income;2.772588722239781;Medium;5.0;33.333333333333336;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
101;48;23;74;94080;1;1200;1;0;0;0;0;1;0;Senior;High Income;4.31748811353631;Small;74.0;1200.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
102;61;36;30;94608;3;1300;2;0;0;0;0;0;0;Senior;Middle Income;3.4339872044851463;Medium;10.0;433.3333333333333;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
103;53;23;44;93555;3;1000;3;198;0;0;0;1;1;Senior;Middle Income;3.8066624897703196;Medium;14.666666666666666;333.3333333333333;5.293304824724492;4.5;High Spender;High Dependency;Senior;Advanced/PhD
104;43;18;22;95670;2;300;2;0;0;0;0;1;0;Senior;Low Income;3.1354942159291497;Small;11.0;150.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
105;56;32;38;93311;4;1300;1;166;0;0;0;1;1;Senior;Middle Income;3.6635616461296463;Medium;9.5;325.0;5.117993812416755;4.368421052631579;High Spender;High Dependency;Senior;Undergraduate
106;24;0;35;94704;3;100;2;0;0;1;0;1;0;Junior;Middle Income;3.58351893845611;Medium;11.666666666666666;33.333333333333336;0.0;0.0;High Spender;No Mortgage;Young Adult;Graduate
107;43;17;69;92717;4;2900;1;0;0;0;0;1;1;Senior;High Income;4.248495242049359;Medium;17.25;725.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
108;42;18;43;92037;1;700;1;136;0;0;0;0;0;Senior;Middle Income;3.784189633918261;Small;43.0;700.0;4.919980925828125;3.1627906976744184;High Spender;High Dependency;Adult;Undergraduate
109;33;7;32;95136;1;600;3;166;0;0;0;1;0;Senior;Middle Income;3.4965075614664802;Small;32.0;600.0;5.117993812416755;5.1875;High Spender;High Dependency;Adult;Advanced/PhD
110;43;17;49;94542;1;2800;1;0;0;0;0;1;0;Senior;Middle Income;3.912023005428146;Small;49.0;2800.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
111;41;14;9;91330;3;1000;2;0;0;0;0;0;0;Senior;Low Income;2.302585092994046;Medium;3.0;333.3333333333333;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
112;62;38;45;94143;4;1300;2;0;0;0;0;1;0;Senior;Middle Income;3.828641396489095;Medium;11.25;325.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
113;40;15;82;91775;3;1000;1;309;0;0;0;0;0;Senior;High Income;4.418840607796598;Medium;27.333333333333332;333.3333333333333;5.736572297479192;3.768292682926829;High Spender;High Dependency;Adult;Undergraduate
114;58;34;92;92703;2;2800;1;103;0;0;0;0;0;Senior;High Income;4.532599493153256;Small;46.0;1400.0;4.6443908991413725;1.1195652173913044;High Spender;High Dependency;Senior;Undergraduate
115;39;14;39;92354;3;500;3;0;0;0;0;1;0;Senior;Middle Income;3.6888794541139363;Medium;13.0;166.66666666666666;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
116;65;40;81;92024;3;1800;2;0;0;0;0;1;0;Senior;High Income;4.406719247264253;Medium;27.0;600.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
117;54;29;35;92831;1;1500;2;0;0;0;0;1;0;Senior;Middle Income;3.58351893845611;Small;35.0;1500.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
118;58;33;61;92833;2;2300;3;193;0;0;0;1;0;Senior;Middle Income;4.127134385045092;Small;30.5;1150.0;5.267858159063328;3.1639344262295084;High Spender;High Dependency;Senior;Advanced/PhD
119;41;16;73;92647;3;3000;1;0;0;0;0;1;0;Senior;High Income;4.30406509320417;Medium;24.333333333333332;1000.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
120;32;7;112;94304;1;4600;1;366;0;0;0;0;0;Senior;High Income;4.727387818712341;Small;112.0;4600.0;5.905361848054571;3.267857142857143;High Spender;High Dependency;Adult;Undergraduate
121;54;29;12;90057;2;200;3;0;0;0;0;1;0;Senior;Low Income;2.5649493574615367;Small;6.0;100.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
122;52;26;38;91711;3;900;3;0;0;0;0;1;0;Senior;Middle Income;3.6635616461296463;Medium;12.666666666666666;300.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
123;58;32;73;94523;2;700;2;0;0;0;0;1;1;Senior;High Income;4.30406509320417;Small;36.5;350.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
124;37;13;84;92130;1;3600;2;0;0;1;0;0;0;Senior;High Income;4.442651256490317;Small;84.0;3600.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
125;39;15;78;92121;4;2400;1;118;0;0;0;1;0;Senior;High Income;4.3694478524670215;Medium;19.5;600.0;4.77912349311153;1.5128205128205128;High Spender;High Dependency;Adult;Undergraduate
126;60;35;80;91301;3;500;1;0;0;0;0;1;0;Senior;High Income;4.394449154672439;Medium;26.666666666666668;166.66666666666666;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
127;31;5;115;92096;2;1300;1;101;0;0;0;1;1;Mid-Level;High Income;4.7535901911063645;Small;57.5;650.0;4.624972813284271;0.8782608695652174;High Spender;High Dependency;Adult;Undergraduate
128;34;8;82;92646;1;2700;2;251;0;0;0;1;0;Senior;High Income;4.418840607796598;Small;82.0;2700.0;5.529429087511423;3.0609756097560976;High Spender;High Dependency;Adult;Graduate
129;38;14;74;92182;2;0;1;0;0;1;0;1;0;Senior;High Income;4.31748811353631;Small;37.0;0.0;0.0;0.0;Low Spender;No Mortgage;Adult;Undergraduate
130;41;16;70;92131;3;500;3;0;0;0;0;0;1;Senior;High Income;4.2626798770413155;Medium;23.333333333333332;166.66666666666666;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
131;28;4;81;94801;3;1500;1;276;0;0;0;1;0;Mid-Level;High Income;4.406719247264253;Medium;27.0;500.0;5.6240175061873385;3.4074074074074074;High Spender;High Dependency;Young Adult;Undergraduate
132;58;34;149;93720;4;7200;2;0;1;0;1;1;1;Senior;High Income;5.0106352940962555;Medium;37.25;1800.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
133;31;1;51;90840;2;1750;3;0;0;0;0;0;0;Junior;Middle Income;3.9512437185814275;Small;25.5;875.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
134;30;4;39;90245;3;1100;2;0;0;0;0;1;0;Mid-Level;Middle Income;3.6888794541139363;Medium;13.0;366.6666666666667;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
135;53;29;98;95035;3;1800;2;0;0;0;0;0;0;Senior;High Income;4.59511985013459;Medium;32.666666666666664;600.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
136;58;33;45;93010;4;2100;1;0;0;0;0;1;1;Senior;Middle Income;3.828641396489095;Medium;11.25;525.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
137;59;32;49;95035;4;2500;2;0;0;0;0;1;0;Senior;Middle Income;3.912023005428146;Medium;12.25;625.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
138;49;25;128;95054;2;400;1;0;0;0;0;0;0;Senior;High Income;4.859812404361672;Small;64.0;200.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
139;59;34;42;94928;3;1500;1;0;0;1;1;0;1;Senior;Middle Income;3.7612001156935624;Medium;14.0;500.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
140;59;35;18;93305;1;1200;3;0;0;0;0;1;0;Senior;Low Income;2.9444389791664403;Small;18.0;1200.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
141;51;25;31;90245;2;400;3;161;0;0;0;1;1;Senior;Middle Income;3.4657359027997265;Small;15.5;200.0;5.087596335232384;5.193548387096774;High Spender;High Dependency;Senior;Advanced/PhD
142;35;11;58;95831;3;2000;1;149;0;0;0;1;1;Senior;Middle Income;4.07753744390572;Medium;19.333333333333332;666.6666666666666;5.0106352940962555;2.5689655172413794;High Spender;High Dependency;Adult;Undergraduate
143;33;9;48;91770;1;2100;3;0;0;0;0;0;1;Senior;Middle Income;3.8918202981106265;Small;48.0;2100.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
144;25;1;54;94117;4;1600;1;0;0;0;0;1;1;Junior;Middle Income;4.007333185232471;Medium;13.5;400.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Undergraduate
145;49;23;70;92093;2;1500;2;0;0;0;0;0;0;Senior;High Income;4.2626798770413155;Small;35.0;750.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
146;59;35;124;90007;1;7400;1;0;0;0;0;0;1;Senior;High Income;4.8283137373023015;Small;124.0;7400.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
